PID,NAME,COMM,PPID,SID,UID,Jiffies_Total,UTIME,STIME,STARTTIME,PSS_KB,VmRSS_KB
3307,"dconf-service","dconf-service",2603,3307,1000,0,0,0,4,609,6068
3418,"xsettingsd","xsettingsd",2603,3417,1000,0,0,0,1,519,4368
3419,"obexd","obexd",2603,3419,1000,1,1,0,1,1170,7112
3547,"abrt-applet","abrt-applet",2603,3547,1000,24,18,6,5,5655,23104
3554,"kdeconnectd","kdeconnectd",2603,3554,1000,250,167,83,7,22836,72324
3560,"xwaylandvideobridge","xwaylandvideobr",2603,3560,1000,24,19,5,7,22737,78492
3563,"python3","seapplet",2603,3563,1000,24,21,3,6,27827,49152
3572,"kunifiedpush-distributor","kunifiedpush-di",2603,3572,1000,5,4,1,2,3641,20948
3579,"xdg-desktop-portal-gtk","xdg-desktop-por",2603,3579,1000,11,10,1,6,6931,22716
3585,"agent","agent",2603,3585,1000,0,0,0,4,1000,8540
3588,"DiscoverNotifier","DiscoverNotifie",2603,3588,1000,54,43,11,10,73324,126836
3654,"abrt-dbus","abrt-dbus",1,3654,0,7,5,2,4,2940,15412
3665,"ksecretd","ksecretd",2603,3665,1000,38,32,6,6,26383,85592
3716,"imsettings-daemon","imsettings-daem",2603,3716,1000,1,1,0,4,2401,14564
4140,"maliit-keyboard","maliit-keyboard",3034,3023,1000,156,85,71,18,56852,93476
4264,"flatpak-session-helper","flatpak-session",2603,4264,1000,4,3,1,4,1666,12368
4269,"server","p11-kit-server",2603,4269,1000,0,0,0,1,242,1036
4285,"flatpak-portal","flatpak-portal",2603,4285,1000,6,4,2,4,3054,16380
4741,"gvfsd-metadata","gvfsd-metadata",2603,4741,1000,2,1,1,4,701,6808
6973,"code","code",2603,6973,1000,677,448,229,40,121297,227180
6976,"code","code",6973,6973,1000,2,1,1,1,8683,49528
6977,"code","code",6973,6973,1000,2,1,1,1,6206,49120
6979,"code","code",6977,6973,1000,0,0,0,1,2886,12916
6996,"chrome_crashpad_handler","chrome_crashpad",2603,6995,1000,0,0,0,3,1543,3728
7018,"code","code",6976,6973,1000,539,419,120,16,71591,131972
7027,"exe","code",6973,6973,1000,21,13,8,10,21290,73468
7073,"code","code",6979,6973,1000,1767,1592,175,20,236302,320460
7152,"exe","code",6973,6973,1000,482,391,91,21,166482,238068
7167,"exe","code",6973,6973,1000,397,319,78,20,77877,145752
7168,"exe","code",6973,6973,1000,86,66,20,23,42090,107536
7218,"exe","code",6973,6973,1000,164,111,53,21,46834,113300
7317,"kwalletd6","kwalletd6",2603,7317,1000,11,9,2,9,17660,67352
7373,"cpptools","cpptools",7152,6973,1000,95,58,37,22,18176,18228
7435,"bash","bash",7218,7435,1000,1,1,0,1,3062,5616
7508,"cpptools-srv","cpptools-srv",2603,6973,1000,12,8,4,8,11700,11752
7564,"sudo","sudo",7435,7435,1000,3,1,2,1,1434,9536
7592,"systemd","systemd",1,7592,0,15,8,7,1,4911,14820
7594,"(sd-pam)","(sd-pam)",7592,7592,0,0,0,0,1,503,1840
7612,"sudo","sudo",7564,7612,1000,0,0,0,1,765,2692
7613,"my_m1","my_m1",7612,7612,0,1152,297,855,2,50256,52404
7615,"dbus-broker-launch","dbus-broker-lau",7592,7615,0,0,0,0,1,518,4624
7616,"dbus-broker","dbus-broker",7615,7615,0,0,0,0,1,396,3176
7671,"code","code",6979,6973,1000,50,39,11,9,39172,112536
7774,"bwrap","bwrap",2603,7774,1000,3,2,1,1,46,2212
7787,"bwrap","bwrap",2603,7774,1000,0,0,0,1,19,2092
7788,"xdg-dbus-proxy","xdg-dbus-proxy",7787,7774,1000,2,1,1,3,395,6152
7791,"bwrap","bwrap",7774,7774,1000,2,0,2,1,47,1420
7795,"zen","zen",7791,7774,1000,3522,2683,839,116,286407,396016
7874,"zen","forkserver",7795,7774,1000,3,2,1,1,10090,35412
7996,"browser 7 tab","WebExtensions",7874,7774,1000,666,580,86,28,219949,297836
8307,"systemd-userwork: waiting...","systemd-userwor",624,624,0,0,0,0,1,1383,7788
8548,"systemd-userwork: waiting...","systemd-userwor",624,624,0,0,0,0,1,1374,7772
8549,"systemd-userwork: waiting...","systemd-userwor",624,624,0,0,0,0,1,1383,7788
8748,"pcscd","pcscd",1,8748,0,4,2,2,7,1368,7844
